date,regime,picks,wins,losses,holds,no_data,acceptance_mode,eligible_count,breadth_above_sma20,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2021-08-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-08-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-03,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-07,choppy,2,0,2,0,0,full,29,0.6613,live,,,
2021-09-08,choppy,2,0,0,2,0,full,42,0.6708,live,,,
2021-09-09,choppy,2,0,1,1,0,full,38,0.6531,live,,,
2021-09-10,choppy,2,2,0,0,0,full,44,0.671,live,,,
2021-09-13,choppy,2,0,2,0,0,full,39,0.638,live,,,
2021-09-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2021-09-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
